#bp.overlap	chr	cpgnum	entrez	gcnum	genesym	name	obsexp	refgene	start	stop	pval	qval	Class	nonzero_frac	avgGrpA	avgGrpB	150410_MCS0001_V1D_CACGAT_L002_R1	150410_MCS0002_V1D_ATACGG_L008_R1	150410_MCS0004_V1D_GATGCT_L008_R1	150410_MCSLNP4014_V1D_GGCCTG_L008_R1	150410_MCSLNP4015_V1D_TGAATG_L002_R1	MCSLNP4021_V1D
1152;1152;1152;1152;1152	chr22	132	56478;56478;56478;9814;9814	776	EIF4ENIF1;EIF4ENIF1;EIF4ENIF1;SFI1;SFI1	CpG:132	1.01	NM_001164501;NM_001164502;NM_019843;NM_014775;NM_001007467	31885140	31886292	0.495925661	0.810543859	0	0.350993377	9.32891E-05	0.000469681	0	0.000279867	0	0	0.000295919	0.001113124
434	chr17	32	5986	289	RFNG	CpG:32	0.67	NM_002917	80012346	80012780	0.495968618	0.810543859	0	1	0.215569301	0.178921005	0.262629226	0.175207633	0.208871044	0.213310451	0.139519849	0.183932714
1012	chr15	121	5780	689	PTPN9	CpG:121	1.03	NM_002833	75870802	75871814	0.495984295	0.810543859	0	0.304909561	0.000109013	0.000716622	0	0.000327038	0	0	0.000148556	0.00200131
280;280	chr8	21	55630;55630	189	SLC39A4;SLC39A4	CpG:21	0.66	NM_017767;NM_130849	145649434	145649714	0.496078891	0.810543859	0	1	0.232579145	0.196790282	0.240777041	0.190987225	0.265973169	0.244360204	0.155970183	0.19004046
353	chr12	33	3228	225	HOXC12	CpG:33	0.92	NM_173860	54345563	54345916	0.496084787	0.810543859	0	1	0.096595141	0.063738437	0.098898671	0.096520001	0.09436675	0.11232371	0.00287248	0.076019123
457	chr10	35	84504	319	NKX6-2	CpG:35	0.63	NM_177400	134607423	134607880	0.496092264	0.810543859	0	1	0.11121281	0.100775997	0.105162108	0.091678018	0.136798304	0.128617211	0.08863121	0.08507957
1109	chr8	118	51366	788	UBR5	CpG:118	0.84	NM_015902	103424045	103425154	0.496100527	0.810543859	0	0.318666667	0.000205001	0.001699176	0.000615002	0	0	0.000346889	1.42415E-10	0.004750638
658	chr2	69	100422957	637	MIR3131	CpG:69	0.66	NR_036081	219922154	219923130	0.496102535	0.810543859	0	0.43236715	0.000669335	0.001550338	0.000758212	0.000517494	0.0007323	2.30987E-05	0.0010295	0.003598417
1169	chr17	117	124976	833	SPNS2	CpG:117	0.92	NM_001124758	4401959	4403323	0.496123341	0.810543859	0	0.319706499	0.000210953	0.00125225	0.000632858	0	0	0	0.000267977	0.003488774
834	chr1	75	576	562	BAI2	CpG:75	0.8	NM_001703	32237827	32238661	0.496139461	0.810543859	0	0.944444444	0.00311908	0.006204385	0.004225982	0.002474707	0.00265655	0.005082385	0.00113323	0.01239754
392;1038	chr5	117	11127;645121	761	KIF3A;CCNI2	CpG:117	0.84	NM_007054;NM_001039780	132082873	132083911	0.496361631	0.810658247	0	0.948717949	0.031425888	0.034557004	0.025668625	0.03098529	0.037623749	0.048097457	0.019931775	0.03564178
282;282;282;282;282;282;282	chr17	22	51529;51529;51529;51529;51529;51529;51529	175	ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11	CpG:22	0.83	NM_001002249;NM_016476;NM_001002248;NM_001002247;NM_001002246;NM_001002245;NM_001002244	79846204	79846486	0.496365573	0.810658247	0	1	0.291944568	0.241101739	0.334941954	0.224562788	0.31632896	0.305280824	0.186928269	0.231096124
892	chr4	80	132671	580	SPATA18	CpG:80	0.85	NM_145263	52917388	52918280	0.496386977	0.810658247	0	0.747916667	0.001432658	0.001645158	0.001741139	0.002553468	3.36746E-06	0.001081816	0.002777508	0.00107615
345	chr16	34	283876	259	FLJ39639	CpG:34	0.72	NR_033904	3304351	3304696	0.49645826	0.810658247	0	1	0.15839119	0.125285035	0.144842923	0.137072721	0.193257926	0.173897096	0.074289355	0.127668654
2190;1881	chr11	196	7465;7465	1301	WEE1;WEE1	CpG:196	1.02	NM_001143976;NM_003390	9594346	9596536	0.496607158	0.810658247	0	0.411022576	0.000284392	0.001350224	0.000844563	4.23692E-06	4.37647E-06	0.000363723	0.000188637	0.003498312
490;490	chr15	46	79664;79664	320	NARG2;NARG2	CpG:46	0.89	NM_001018089;NM_024611	60771068	60771558	0.496726705	0.810658247	0	0.445652174	0.000643273	0.000711595	0.001117096	0.000812722	0	0.000375579	0	0.001759206
491	chr11	45	100616284	335	MIR4489	CpG:45	0.79	NR_039709	65409636	65410127	0.496733683	0.810658247	0	1	0.141978798	0.124430411	0.156538186	0.116238654	0.153159553	0.137934033	0.096272629	0.139084571
362;362	chr8	48	80243;80243	245	PREX2;PREX2	CpG:48	1.18	NM_024870;NM_025170	68864584	68864946	0.496841083	0.810658247	0	0.774691358	0.000725426	0.001914622	0	0.001271715	0.000904563	0.003900544	0.001484664	0.000358658
407;908	chr5	89	11282;8878	653	MGAT4B;SQSTM1	CpG:89	0.77	NM_014275;NM_003900	179243545	179244453	0.496861428	0.810658247	0	0.97752809	0.01960245	0.019716865	0.021481631	0.019836909	0.017488809	0.022507186	0.016169344	0.020474065
335;335;335;335;335;335	chr14	28	26520;9786;9786;9786;9786;9786	210	TIMM9;KIAA0586;KIAA0586;KIAA0586;KIAA0586;KIAA0586	CpG:28	0.85	NM_012460;NM_014749;NM_001244192;NM_001244191;NM_001244190;NM_001244189	58893618	58893953	0.496861507	0.810658247	0	0.613095238	0.000600847	0.002474348	0	0	0.001802541	0.001429688	0.000167749	0.005825607
1403;1403	chr12	90	10060;10060	759	ABCC9;ABCC9	CpG:90	0.88	NM_020297;NM_005691	22093954	22095357	0.496870528	0.810658247	0	0.77962963	0.002341711	0.003027665	0.003887469	0.001868097	0.001269567	0.003871642	0.004054122	0.00115723
282	chr19	24	22904	180	SBNO2	CpG:24	0.85	NM_001100122	1140837	1141119	0.497028648	0.810658247	0	1	0.182681602	0.139079792	0.241502699	0.120686096	0.185856013	0.176866324	0.097392672	0.142980379
396;396;396;396	chr5	35	56140;56140;56141;56141	238	PCDHA8;PCDHA8;PCDHA7;PCDHA7	CpG:35	1.01	NM_031856;NM_018911;NM_018910;NM_031852	140214068	140214464	0.497213596	0.810658247	0	1	0.00842859	0.010458387	0.009356264	0.007277927	0.008651578	0.012192696	0.007664634	0.011517829
804	chr10	64	84504	531	NKX6-2	CpG:64	0.76	NM_177400	134605584	134606388	0.497231897	0.810658247	0	1	0.055174396	0.044775053	0.067744108	0.040597782	0.057181296	0.046660331	0.028931129	0.058733699
882;1251	chr17	148	10052;10052	802	GJC1;GJC1	CpG:148	1.16	NM_001080383;NM_005497	42906810	42908061	0.497452723	0.810658247	0	0.271535581	6.26824E-05	0.000811337	0	0.000188047	0	0.000243421	0	0.002190591
254	chr19	22	9170	167	LPAR2	CpG:22	0.8	NM_004720	19745475	19745729	0.497521489	0.810658247	0	1	0.269434698	0.230571722	0.263733609	0.232419939	0.312150545	0.284966798	0.180297567	0.226450802
416	chr1	44	57449	316	PLEKHG5	CpG:44	0.74	NM_001042665	6545143	6545559	0.497580292	0.810658247	0	1	0.012355331	0.009038821	0.018115346	0.006450909	0.012499738	0.009971059	0.003755172	0.013390232
1390;1390	chr8	140	169200;169200	935	TMEM64;TMEM64	CpG:140	0.89	NM_001008495;NM_001146273	91657389	91658779	0.497660777	0.810658247	0	0.210691824	6.14996E-06	8.12494E-05	0	1.84499E-05	0	5.07426E-05	0	0.000193006
728	chr1	91	2882	518	GPX7	CpG:91	0.99	NM_015696	53067880	53068608	0.497713723	0.810658247	0	0.741319444	0.001012536	0.001146833	0.00096199	0.001509885	0.000565732	0.001500829	9.29906E-05	0.00184668
1589	chr13	153	93081	1019	TEX30	CpG:153	0.95	NM_138779	103425298	103426887	0.497751148	0.810658247	0	0.874233129	0.027156364	0.024991652	0.027118976	0.020811024	0.033539093	0.035108386	0.015596418	0.024270151
1224;1224	chr1	132	4919;4919	880	ROR1;ROR1	CpG:132	0.9	NM_001083592;NM_005012	64239465	64240779	0.497773773	0.810658247	0	0.503246753	0.000182944	0.000474767	0	0.000548831	0	0.000284181	0.000600634	0.000539486
143	chr12	30	196477	203	CCER1	CpG:30	0.85	NM_152638	91347804	91348096	0.497792411	0.810658247	0	1	0.216263003	0.175571808	0.264200046	0.16212931	0.222459653	0.226316018	0.128188067	0.172211338
250;250	chr7	22	221833;221833	154	SP8;SP8	CpG:22	0.93	NM_182700;NM_198956	20830567	20830817	0.497796579	0.810658247	0	1	0.008773971	0.003276917	0.004989656	0.002138915	0.019193342	0.00592712	0.002041842	0.001861788
1357	chr20	136	57468	1146	SLC12A5	CpG:136	0.74	NM_020708	44657463	44659243	0.497797019	0.810658247	0	0.985915493	0.012132089	0.015719161	0.007432919	0.012177098	0.016786251	0.016517652	0.014420192	0.016219639
213	chr19	17	997	153	CDC34	CpG:17	0.68	NM_004359	524156	524369	0.497810656	0.810658247	0	1	0.149326471	0.117674543	0.186002199	0.136580654	0.125396561	0.157766188	0.087777496	0.107479946
572;572	chr12	38	100507250;57122	330	LOC100507250;NUP107	CpG:38	0.81	NR_038930;NM_020401	69080580	69081152	0.497844655	0.810658247	0	0.320175439	0.00077859	0.000639005	0.001261846	0	0.001073923	0	0	0.001917016
810;810	chr22	99	84861;84861	558	KLHL22;KLHL22	CpG:99	1.03	NR_033825;NM_032775	20849594	20850404	0.497925397	0.810658247	0	0.248538012	1.16466E-05	0.000905747	0	0	3.49399E-05	2.57487E-05	0	0.002691493
1370;1370;1370;1370	chr1	131	22955;22955;22955;22955	849	SCMH1;SCMH1;SCMH1;SCMH1	CpG:131	0.99	NM_012236;NM_001172218;NM_001172220;NM_001172219	41706957	41708327	0.498046143	0.810658247	0	0.360465116	0.000169246	0.000870821	0.000371019	7.18625E-05	6.48576E-05	0.000648942	6.39096E-05	0.001899612
1895	chr11	155	5441	1095	POLR2L	CpG:155	0.98	NM_021128	849087	850982	0.498069581	0.810658247	0	1	0.074700411	0.074496563	0.073216643	0.069794399	0.081090193	0.089467199	0.050810281	0.083212209
95	chr2	23	388946	193	TMEM247	CpG:23	0.72	NM_001145051	46707608	46707899	0.498077644	0.810658247	0	1	0.271259183	0.222020444	0.305557179	0.23377953	0.274440842	0.281017579	0.137360047	0.247683705
1166	chr15	121	3418	806	IDH2	CpG:121	0.87	NM_002168	90644998	90646164	0.498118481	0.810658247	0	0.307692308	0.000152851	0.000441202	0.000370291	8.82622E-05	0	0.000356188	0	0.000967419
916	chr9	91	10444	643	ZER1	CpG:91	0.81	NM_006336	131533779	131534695	0.498120986	0.810658247	0	0.338827839	0.000192683	0.000801638	0.00057805	0	0	2.4289E-05	0.000463913	0.001916713
1696	chr19	141	1820	985	ARID3A	CpG:141	0.99	NM_005224	925120	926816	0.498158069	0.810658247	0	0.388888889	0.000190454	0.001233421	0.000290648	0	0.000280715	0	0.000496786	0.003203477
1356	chr5	112	79192	843	IRX1	CpG:112	0.86	NM_024337	3590644	3592000	0.498164779	0.810658247	0	0.953869048	0.014205468	0.014843428	0.018794832	0.013360803	0.01046077	0.018118702	0.005838045	0.020573536
620	chr16	72	9764	446	KIAA0513	CpG:72	0.92	NM_014732	85061182	85061802	0.498181154	0.810658247	0	0.541666667	0.000298248	0.001042753	0.000366495	0.00052825	0	0.000539737	0.000437849	0.002150671
743	chr2	85	140738	553	TMEM37	CpG:85	0.83	NM_183240	120189022	120189765	0.498218939	0.810658247	0	0.533333333	0.000557592	0.003121645	7.65061E-06	0.000741436	0.000923691	0.001951701	2.28854E-05	0.00739035
1539;1539	chr19	176	79883;79883	1449	PODNL1;PODNL1	CpG:176	0.73	NM_001146255;NM_001146254	14072665	14074824	0.498372629	0.810658247	0	1	0.133506456	0.121393136	0.14256455	0.115242256	0.142712564	0.144928644	0.088820283	0.130430481
314	chr9	26	401563	217	C9orf139	CpG:26	0.7	NM_207511	139917178	139917492	0.498428939	0.810658247	0	1	0.177859644	0.156518871	0.198097651	0.152431197	0.183050084	0.184159393	0.123398478	0.161998741
327	chr16	23	645811	223	CCDC154	CpG:23	0.61	NM_001143980	1495039	1495366	0.498561262	0.810658247	0	1	0.228359994	0.184113965	0.277276882	0.168569548	0.239233553	0.239819093	0.147282317	0.165240485
1089;1207	chr5	148	134549;134549	896	SHROOM1;SHROOM1	CpG:148	0.89	NM_001172700;NM_133456	132165472	132166679	0.498622503	0.810658247	0	0.832207207	0.005269048	0.005168545	0.001572375	0.007163646	0.007071122	0.007279158	0.004868792	0.003357686
1301	chr12	94	27165	866	GLS2	CpG:94	0.67	NM_013267	56881401	56882702	0.498692502	0.810658247	0	0.845744681	0.017015275	0.018163053	0.020700938	0.014141728	0.016203158	0.017471726	0.017818922	0.01919851
688	chr8	59	4342	382	MOS	CpG:59	1.11	NM_005372	57030196	57030884	0.498729189	0.810658247	0	1	0.117760483	0.098449613	0.090749884	0.110239939	0.152291625	0.118586895	0.078679007	0.098082937
704	chrX	64	170067	457	FAM48B2	CpG:64	0.87	NM_001136233	24331643	24332347	0.49875841	0.810658247	0	1	0.052784383	0.072887293	0.070276607	0.037262891	0.050813651	0.103797117	0.032409452	0.08245531
251	chr19	22	100128573	181	LOC100128573	CpG:22	0.68	NR_024491	7542104	7542355	0.498772521	0.810658247	0	1	0.219901966	0.177253156	0.268944552	0.155607456	0.235153891	0.229215567	0.153288937	0.149254966
993;993;993;993	chr22	91	57553;57553;57553;100192420	669	MICAL3;MICAL3;MICAL3;FLJ41941	CpG:91	0.81	NM_001136004;NM_015241;NM_001122731;NR_024417	18506419	18507412	0.498885819	0.810658247	0	0.465201465	0.000191635	0.000997157	0.000574905	0	0	5.10365E-05	0.000608441	0.002331992
1109	chr19	113	55337	820	C19orf66	CpG:113	0.79	NM_018381	10196696	10197857	0.498899472	0.810658247	0	0.54719764	0.000992812	0.001987569	0.001060396	0.001415709	0.00050233	0.000768159	0.001826985	0.003367563
881;881	chr8	74	100132891;100132891	563	LOC100132891;LOC100132891	CpG:74	0.83	NR_033651;NR_033652	72753874	72754755	0.498924604	0.810658247	0	1	0.103195536	0.074282944	0.154858441	0.064685075	0.090043091	0.096845377	0.058744017	0.067259438
479;1210;1210;1210	chr16	98	9564;9564;9564;9564	773	BCAR1;BCAR1;BCAR1;BCAR1	CpG:98	0.79	NM_001170716;NM_001170718;NM_001170714;NM_001170720	75298976	75300186	0.499036901	0.810658247	0	0.757452575	0.001198647	0.003441328	0.000320738	0.002540538	0.000734664	0.002601284	0.001051201	0.0066715
1500	chr5	140	170690	920	ADAMTS16	CpG:140	1	NM_139056	5139441	5140941	0.499056449	0.810658247	0	0.881687243	0.005846502	0.006814804	0.006219365	0.008557022	0.002763119	0.007653807	0.006012109	0.006778497
450	chr14	58	10858	329	CYP46A1	CpG:58	0.97	NM_006668	100141601	100142051	0.499076038	0.810658247	0	1	0.099190501	0.083143729	0.130729996	0.072853529	0.093987978	0.082631599	0.070214743	0.096584846
224;224	chr9	19	10555;10555	152	AGPAT2;AGPAT2	CpG:19	0.74	NM_006412;NM_001012727	139586824	139587048	0.499301094	0.810658247	0	1	0.279016337	0.231599027	0.317556998	0.224008438	0.295483573	0.301423157	0.172519961	0.220853964
711;1330	chr17	116	55316;1101	892	RSAD1;CHAD	CpG:116	0.78	NM_018346;NM_001267	48545570	48546900	0.499349481	0.810658247	0	0.989942529	0.026858651	0.039817921	0.023904161	0.024914747	0.031757046	0.0585035	0.028781719	0.032168542
729;729;729;729;729	chr19	71	54555;54555;11316;11316;11316	449	DDX49;DDX49;COPE;COPE;COPE	CpG:71	1.03	NM_019070;NR_033677;NM_199444;NM_199442;NM_007263	19029924	19030653	0.499535904	0.810658247	0	0.406103286	0.000257131	0.001863595	0	0.000336581	0.000434812	4.13438E-06	0.000644028	0.004942623
176	chr19	35	81794	306	ADAMTS10	CpG:35	0.65	NM_030957	8674332	8674764	0.499560345	0.810658247	0	0.961904762	0.004927511	0.007960861	0.004562467	0.008330483	0.001889582	0.011608306	0.006947617	0.005326661
337;337	chr18	41	374864;374864	218	CCDC178;CCDC178	CpG:41	1.18	NM_198995;NM_001105528	31020510	31020847	0.49959463	0.810658247	0	0.887878788	0.001482352	0.003322383	0.000820329	0.001478129	0.002148596	0.004570275	2.15187E-05	0.005375356
884	chr13	103	10166	649	SLC25A15	CpG:103	0.88	NM_014252	41363435	41364319	0.499606491	0.810658247	0	0.763754045	0.001137109	0.003167804	0.001060366	0.001078976	0.001271985	0.00076589	0.001770745	0.006966777
1221	chr19	100	5864	746	RAB3A	CpG:100	0.88	NM_002866	18313908	18315129	0.499637105	0.810658247	0	0.608108108	0.000828678	0.003686062	0.000512512	0.001100671	0.000872851	8.93039E-05	0.001913086	0.009055797
575;575	chr3	40	100288801;647476	386	FRG2C;FLJ20518	CpG:40	0.63	NM_001124759;NR_037925	75707623	75708198	0.499639626	0.810658247	0	1	0.069994904	0.057376859	0.076587869	0.036691465	0.096705377	0.074267736	0.036394326	0.061468515
208;208;208	chr19	20	11284;79735;79735	128	PNKP;TBC1D17;TBC1D17	CpG:20	1.05	NM_007254;NM_001168222;NM_024682	50376356	50376564	0.499674944	0.810658247	0	1	0.187880769	0.163682446	0.214779323	0.16250595	0.186357034	0.203558427	0.136567846	0.150921066
400	chr8	39	2626	260	GATA4	CpG:39	0.93	NM_002052	11557852	11558252	0.499744175	0.810658247	0	0.888888889	0.002349009	0.004456167	0.002482817	0.002026678	0.002537533	0.010734525	0.002328685	0.000305292
294	chr14	29	1397	205	CRIP2	CpG:29	0.83	NM_001312	105936264	105936558	0.499754369	0.810658247	0	1	0.177129114	0.144407044	0.183922081	0.149491124	0.197974136	0.200873135	0.103490718	0.128857278
337;337	chr6	42	340204;389383	255	CLPSL1;CLPSL2	CpG:42	0.87	NM_001010886;NM_207409	35744225	35744562	0.499754989	0.810658247	0	0.849206349	0.00340731	0.006597411	0.003584719	0.002248108	0.004389102	0.003028526	0.003680534	0.013083173
2080	chr6	168	4188	1350	MDFI	CpG:168	0.77	NM_005586	41604583	41606663	0.499864745	0.810658247	0	0.995155039	0.036166545	0.028327431	0.027798631	0.040215055	0.04048595	0.03535249	0.016197426	0.033432377
915;915	chr6	90	51715;51715	628	RAB23;RAB23	CpG:90	0.84	NM_183227;NM_016277	57086396	57087311	0.499872209	0.810658247	0	0.388888889	0.000193765	0.00023875	0.000581296	0	0	0	0.000323229	0.000393022
629;629;629;629;629;629	chr14	59	57862;57862;57862;57862;57862;57862	426	ZNF410;ZNF410;ZNF410;ZNF410;ZNF410;ZNF410	CpG:59	0.83	NM_021188;NM_001242924;NM_001242926;NM_001242927;NM_001242928;NR_040251	74353202	74353831	0.499883733	0.810658247	0	0.666666667	0.000533689	0.001185556	0.000884348	0.000716718	0	0.000714064	0.000757352	0.002085253
260	chr3	24	100506243	171	KRBOX1	CpG:24	0.88	NM_001205272	42977830	42978090	0.49996216	0.810658247	0	1	0.126084891	0.106137021	0.150706549	0.109170766	0.118377358	0.130099333	0.070763815	0.117547916
346	chr4	30	58505	218	OSTC	CpG:30	0.88	NM_021227	109571693	109572039	0.500050369	0.810658247	0	0.438888889	0.000544388	0.00149913	0.001633163	0	0	0	0.00095317	0.00354422
255;255	chr13	17	348013;100130386	148	FAM70B;LINC00552	CpG:17	0.79	NM_182614;NR_028064	114462702	114462957	0.50010225	0.810658247	0	0.666666667	0.001085994	0.002699385	0	0.001770725	0.001487257	4.11173E-05	0.002280639	0.005776397
4	chr22	100	1564	766	CYP2D7P1	CpG:100	0.77	NR_002570	42538474	42539579	0.500171619	0.810658247	0	1	0.094894394	0.082419816	0.105710607	0.078795807	0.100176767	0.111749893	0.056934996	0.078574559
647	chr11	59	4162	464	MCAM	CpG:59	0.71	NM_006500	119191535	119192182	0.500193427	0.810658247	0	0.516949153	0.000479031	0.001540338	1.36983E-05	3.82518E-06	0.001419569	0.001553928	0.000201197	0.002865889
457;457;457;457;457	chr12	47	79600;79600;79600;79600;79600	323	TCTN1;TCTN1;TCTN1;TCTN1;TCTN1	CpG:47	0.85	NM_001082537;NM_001173976;NM_001082538;NM_024549;NM_001173975	111051693	111052150	0.500205418	0.810658247	0	0.457446809	3.95546E-05	0.002348241	0	5.83468E-05	6.03171E-05	2.64156E-05	5.51844E-05	0.006963124
256	chr22	33	23784	166	POTEH	CpG:33	1.23	NM_001136213	16288314	16288570	0.500258543	0.810658247	0	1	0.034826448	0.028331947	0.044059324	0.032597022	0.027822998	0.034388195	0.018836596	0.03177105
968	chr3	89	8850	516	KAT2B	CpG:89	1.3	NM_003884	20081458	20082426	0.500286114	0.810658247	0	0.304878049	0.000114203	7.52014E-05	0	0.00034261	0	3.96215E-05	0.000153273	3.271E-05
457;457;457;457;457;457;457	chr19	55	83636;83636;83636;83636;83636;83636;83636	355	C19orf12;C19orf12;C19orf12;C19orf12;C19orf12;C19orf12;C19orf12	CpG:55	0.8	NR_045690;NM_001031726;NM_001256047;NM_001256046;NR_045691;NR_045692;NM_031448	30206040	30206497	0.500349063	0.810658247	0	0.378787879	0.000298435	0.001531521	1.39201E-06	0	0.000893912	0	0.000750063	0.0038445
1434;1434;1277;1277;1277	chr18	116	8715;8715;8715;8715;8715	901	NOL4;NOL4;NOL4;NOL4;NOL4	CpG:116	0.82	NR_036752;NM_001198547;NM_001198548;NM_001198546;NM_003787	31802358	31803792	0.500364185	0.810658247	0	0.652298851	0.001000246	0.002128354	0	0.001710064	0.001290673	0.003357358	0.001424175	0.00160353
789;789;789	chr14	79	84520;55148;55148	534	C14orf142;UBR7;UBR7	CpG:79	0.89	NM_032490;NM_175748;NR_038150	93673128	93673917	0.500407295	0.810658247	0	0.443037975	0.000246667	0.001122667	0.000230922	0.000509079	0	0	0.000750197	0.002617803
665;665;665;665	chr19	61	6455;6455;6455;10036	380	SH3GL1;SH3GL1;SH3GL1;CHAF1A	CpG:61	1.14	NM_001199943;NM_003025;NM_001199944;NM_005483	4400117	4400782	0.500463626	0.810658247	0	0.324074074	3.825E-05	0.000672241	8.09096E-06	0.000106659	0	3.40505E-05	0.000214227	0.001768447
500	chr19	38	6209	339	RPS15	CpG:38	0.66	NM_001018	1428803	1429303	0.50053696	0.810658247	0	1	0.240587451	0.197408818	0.250114357	0.177696154	0.293951844	0.232628468	0.157012089	0.202585898
372;372	chr20	40	55738;55738	279	ARFGAP1;ARFGAP1	CpG:40	0.8	NM_018209;NM_175609	61897954	61898326	0.500554937	0.810658247	0	1	0.059322353	0.047087375	0.072056266	0.048984109	0.056926685	0.048852734	0.030755627	0.061653764
832	chr3	94	131377	561	KBTBD5	CpG:94	0.99	NM_152393	42727084	42727916	0.500686221	0.810658247	0	1	0.044596851	0.059247703	0.049763779	0.043072926	0.040953849	0.081676585	0.035134277	0.060932245
2332;2332	chr17	233	5881;201254	1579	RAC3;STRA13	CpG:233	0.87	NM_005052;NM_144998	79987983	79990315	0.500709486	0.810658247	0	0.6511772	0.009669385	0.014179726	0.00972138	0.007373821	0.011912954	0.008887187	0.011181861	0.02247013
319	chr9	131	9022	993	CLIC3	CpG:131	0.75	NM_004669	139888934	139890343	0.500758343	0.810658247	0	1	0.071385102	0.068626278	0.079728417	0.049917844	0.084509044	0.080744569	0.063548277	0.061585989
1433;1433	chr10	398	283078;283078	3133	MKX;MKX	CpG:398	0.82	NM_001242702;NM_173576	28030182	28035211	0.50088064	0.810658247	0	0.62214342	0.010961182	0.010324288	0.012641645	0.008126013	0.012115887	0.014484572	0.005931499	0.010556792
1162;1162	chr21	154	10950;10950	854	BTG3;BTG3	CpG:154	0.98	NM_001130914;NM_006806	18984535	18985697	0.501045264	0.810658247	0	0.520562771	0.001078545	0.001825521	0	0.002222941	0.001012695	0.002119431	0.001705461	0.00165167
1839	chr9	150	100151684	932	RNU6ATAC	CpG:150	1.27	NR_023344	137028717	137030556	0.50105147	0.810658247	0	0.774509804	0.004020411	0.004768104	0.00169007	0.005049221	0.005321942	0.004785435	0.001226586	0.00829229
767	chr4	76	201895	514	C4orf34	CpG:76	0.89	NM_174921	39640156	39640923	0.501055327	0.810658247	0	0.407894737	0.000258069	0.00090895	1.82422E-06	0.000772382	0	0.000102801	0.000586015	0.002038034
1193	chr3	110	1849	641	DUSP7	CpG:110	1.28	NM_001947	52089652	52090845	0.50106379	0.810658247	0	0.225198413	3.61159E-05	0.000840301	0.000108348	0	0	0.000252654	8.63021E-07	0.002267386
608	chr16	70	112869	364	CCDC101	CpG:70	1.29	NM_138414	28565145	28565753	0.501116987	0.810658247	0	0.495614035	0.00011675	0.001663516	2.57531E-06	0.000206914	0.00014076	3.26837E-06	0.000270309	0.004716972
652;652	chr2	53	6241;6241	363	RRM2;RRM2	CpG:53	1.06	NM_001034;NM_001165931	10260279	10260931	0.501162055	0.810658247	0	0.533333333	0.001080614	0.002597716	0.001840499	0.00065316	0.000748184	0.00208919	0.00054465	0.005159308
1000	chr5	118	10814	768	CPLX2	CpG:118	0.86	NM_006650	175223609	175224679	0.501174828	0.810658247	0	0.672316384	0.000805574	0.000773598	0.000867213	0.000701819	0.000847689	0.000331654	0.0007414	0.001247741
877;877	chr1	90	5825;5825	553	ABCD3;ABCD3	CpG:90	1.03	NM_002858;NM_001122674	94883525	94884402	0.501198988	0.810658247	0	0.313813814	0.000155323	0.000425914	0	0	0.000465969	7.61891E-06	0.000334902	0.000935222
235	chr2	20	2498	122	FTH1P3	CpG:20	1.31	NR_002201	27616205	27616440	0.501294442	0.810723947	0	1	0.139049808	0.111242687	0.177027094	0.100208103	0.139914226	0.1348533	0.078764308	0.120110452
879	chr1	84	343521	625	TCTEX1D4	CpG:84	0.76	NM_001013632	45278765	45279644	0.501366097	0.810751148	0	1	0.079096223	0.073686177	0.089631688	0.070419846	0.077237137	0.084141315	0.053453571	0.083463644
842;842;842	chr9	87	2649;2649;169611	567	NR6A1;NR6A1;OLFML2A	CpG:87	0.92	NM_001489;NM_033334;NM_182487	127539239	127540081	0.50155905	0.8108978	0	0.664965986	0.002057831	0.004369886	0.00173991	0.002666209	0.001767374	0.002417895	0.003574944	0.007116818
1321	chr7	162	222166	1097	C7orf41	CpG:162	1.05	NM_152793	30174230	30176169	0.501566478	0.8108978	0	0.37202381	0.002386032	0.003406615	0.002283146	0.002320302	0.002554647	0.003048604	0.002450914	0.004720328
235;440	chr16	38	57799;57799	327	RAB40C;RAB40C	CpG:38	0.63	NM_001172664;NM_001172663	629463	629903	0.501784247	0.810914196	0	1	0.10220492	0.079419177	0.122806172	0.069802213	0.114006375	0.109641513	0.053030242	0.075585778
1039;1039;1039;1039	chr1	102	343099;50999;50999;50999	692	CCDC18;TMED5;TMED5;TMED5	CpG:102	0.89	NM_206886;NM_016040;NM_001167830;NR_030761	93645432	93646471	0.501847688	0.810914196	0	0.467320261	0.000331861	0.001495579	0.000995584	0	0	1.16107E-05	0.000606346	0.003868781
232	chr8	27	55790	169	CSGALNACT1	CpG:27	0.88	NM_001130518	19459905	19460137	0.501922437	0.810914196	0	1	0.023602724	0.028829349	0.026111673	0.021479023	0.023217476	0.039721915	0.020982132	0.025783999
884;884	chr17	95	51181;51181	641	DCXR;DCXR	CpG:95	0.82	NM_016286;NM_001195218	79994780	79995664	0.501949217	0.810914196	0	0.564912281	0.00248833	0.007043437	0.003157404	0.001653638	0.002653946	0.001572931	0.004860324	0.014697057
917	chr15	101	57519	659	STARD9	CpG:101	0.88	NM_020759	42867337	42868254	0.502128993	0.810914196	0	0.442244224	0.000190353	0.001294154	0.000432651	0.000114323	2.40863E-05	0.00016675	0.000284994	0.003430717
994;994;994;994	chr4	75	5099;5099;5099;5099	623	PCDH7;PCDH7;PCDH7;PCDH7	CpG:75	0.77	NM_002589;NM_001173523;NM_032457;NM_032456	30718853	30719847	0.502165359	0.810914196	0	0.428888889	0.000375644	0.00201599	0	0.001126933	0	0.005143858	0.000146736	0.000757377
