s__Enterococcus_B hirae	GCA_000271405.2
s__Rhodanobacter denitrificans	GCF_000230695.2
s__Deinococcus gobiensis	GCF_000252445.1
s__Enteroscipio sp000270285	GCF_000270285.1
s__Eubacterium_I sp000270305	GCF_000270305.1
s__Rickettsia rhipicephali	GCF_000284075.1
s__Actinoplanes missouriensis	GCF_000284295.1
s__Pararhodospirillum photometricum	GCF_000284415.1
s__Halobacillus halophilus	GCF_000284515.1
s__Pseudomonas_E fluorescens_B	GCF_000293885.2
s__Cardinium sp000304455	GCF_000304455.1
s__Leptospira mayottensis	GCF_000306675.2
s__Leifsonia cynodontis	GCF_000470775.1
s__Hyphomicrobium nitrativorans	GCF_000503895.1
s__Corynebacterium vitaeruminis	GCF_000550805.1
s__Gilliamella apicola	GCF_000599985.1
s__Snodgrassella alvi	GCF_000600005.1
s__Ensifer adhaerens	GCF_000697965.2
s__Corynebacterium atypicum	GCF_000732945.1
s__Hymenobacter sp000801315	GCF_000801315.1
s__Pseudothermotoga_A hypogea	GCF_000816145.1
s__Rhizobium gallicum	GCF_000816845.1
s__Flavobacterium profundi	GCF_000833025.1
s__Xenorhabdus doucetiae	GCF_000968195.1
s__Polynucleobacter duraquae	GCF_000973625.1
s__IMCC21906 sp001010805	GCF_001010805.1
s__Clostridium_F sporogenes	GCF_001020205.1
s__Bifidobacterium bifidum	GCF_001025135.1
s__Octadecabacter temperatus	GCF_001187845.1
s__Labilithrix luteola	GCF_001263205.1
s__Pseudomonas_E fluorescens_AA	GCF_001307275.1
s__Celeribacter_A marinus	GCF_001308265.1
s__Paenibacillus_J bovis	GCF_001421015.2
s__Actinomyces radicidentis	GCF_001553565.1
s__Desulfomicrobium orale	GCF_001553625.1
s__Anaerotignum propionicum	GCF_001561955.1
s__Sinomonas atrocyanea	GCF_001577305.1
s__Collimonas arenae	GCF_001584165.1
s__Corynebacterium simulans	GCF_001586215.1
s__Algoriphagus sanaruensis	GCF_001593605.1
s__Pseudomonas_E koreensis_C	GCF_001605965.1
s__Microbacterium chocolatum	GCF_001652465.1
s__Streptomyces sp001654495	GCF_001654495.1
s__Dietzia timorensis	GCF_001659785.1
s__Campylobacter_D hepaticus	GCF_001687475.2
s__Erythrobacter sp001720465	GCF_001720465.1
s__Actinoalloteichus hymeniacidonis	GCF_001747425.1
s__Rhodococcus sp001767395	GCF_001767395.1
s__Providencia rettgeri_A	GCF_001874625.1
s__Syntrophotalea acetylenica	GCF_001888165.1
s__Pandoraea thiooxydans	GCF_001931675.1
s__Wolbachia sp001931755	GCF_001931755.2
s__Rhodoferax saidenbachensis	GCF_001955715.1
s__Brachybacterium sp001969445	GCF_001969445.1
s__Polaribacter reichenbachii	GCF_001975665.1
s__Desulfotomaculum ferrireducens	GCF_002005145.1
s__Acetobacter aceti_B	GCF_002005445.1
s__Sporosarcina ureae_B	GCF_002101375.1
s__Neisseria chenwenguii	GCF_002216145.1
s__Pseudoalteromonas nigrifaciens	GCF_002221505.1
s__Virgibacillus_F necropolis	GCF_002224365.1
s__Enterocloster bolteae	GCF_002234575.2
s__Roseibium sp002237595	GCF_002237595.1
s__Sutcliffiella cohnii	GCF_002250055.1
s__Corynebacterium glaucum_A	GCF_002287505.1
s__Planktophila lacus	GCF_002287925.1
s__Pseudoalteromonas tetraodonis	GCF_002310835.1
s__Corynebacterium suranareeae	GCF_002355155.1
s__Rhizorhabdus dicambivorans	GCF_002355275.1
s__Endomicrobium_A trichonymphae	GCF_002355835.1
s__Synechococcus_A lividus	GCF_002754935.1
s__Fusobacterium periodonticum_D	GCF_002763915.1
s__Amycolatopsis sp002796545	GCF_002796545.1
s__Mesoplasma melaleucae	GCF_002804105.1
s__Planococcus sp002833405	GCF_002833405.1
s__Marivivens zhoushanense	GCF_002850435.1
s__Nocardioides houyundeii	GCF_002865585.1
s__Pseudomonas_E sp002874965	GCF_002874965.1
s__Achromobacter sp002902905	GCF_002902905.1
s__Rahnella sp002951615	GCF_002951615.1
s__Simonsiella muelleri	GCF_002951835.1
s__Bacteroides zoogleoformans	GCF_002998435.1
s__Giesbergeria suum	GCF_003008595.1
s__Flavobacterium magnum	GCF_003055625.1
s__Thermodesulfobium acidiphilum	GCF_003057965.1
s__Cognaticolwellia sp003061515	GCF_003061515.1
s__Corynebacterium liangguodongii	GCF_003070865.1
s__Fokinia solitaria	GCF_003072485.1
s__Flavobacterium sediminis	GCF_003148385.1
s__Pseudothioglobus singularis_A	GCF_003326015.1
s__Ornithinimicrobium sp003351765	GCF_003351765.1
s__Sporosarcina sp003351785	GCF_003351785.1
s__Cyclonatronum proteinivorum	GCF_003353065.1
s__Microbacterium foliorum	GCF_003367705.1
s__Austwickia chelonae_A	GCF_003391095.1
s__Flavobacterium sp003403075	GCF_003403075.1
s__Alteromonas sp003443615	GCF_003443615.1
s__Vibrio alfacsensis	GCF_003544875.1
s__Hydrogenophilus thermoluteolus	GCF_003574215.1
s__Mucilaginibacter celer	GCF_003576455.2
s__Achromobacter spanius_B	GCF_003600685.1
s__Bartonella krasnovii	GCF_003606345.3
s__Pseudomonas_E sp003013355	GCF_003612935.1
s__Pseudomonas_F sp003626975	GCF_003626975.1
s__Rhizobium sp003627795	GCF_003627795.1
s__Lactiplantibacillus paraplantarum	GCF_003641145.1
s__Marihabitans melonis	GCF_003721155.3
s__Tetragenococcus koreensis	GCF_003795145.1
s__Microbacterium sp003850245	GCF_003850245.1
s__Paenibacillus_Z baekrokdamisoli	GCF_003945345.1
s__Microbacterium lemovicicum	GCF_003991875.1
s__Rathayibacter rathayi	GCF_004011095.1
s__Xylanimonas allomyrinae	GCF_004135345.1
s__Thiomicrorhabdus indica	GCF_004293625.1
s__Nardonella sp004296535	GCF_004296535.1
s__Alcaligenes faecalis_C	GCF_004319585.1
s__Streptomonospora sp004323735	GCF_004323735.1
s__Legionella_D israelensis	GCF_004571175.1
s__Thermus caldilimi	GCF_004684245.1
s__Buchnera aphidicola_AG	GCF_005080865.1
s__Buchnera aphidicola_U	GCF_005082145.1
s__Desulfopila sp005116655	GCF_005116655.2
s__Desulfopila sp005116675	GCF_005116675.2
s__Anaerostipes rhamnosivorans	GCF_005280655.1
s__Thermomonas sp006337105	GCF_006337105.1
s__Azoarcus sp006496635	GCF_006496635.1
s__Oecophyllibacter sp006542395	GCF_006542395.2
s__Stella humosa	GCF_006738645.1
s__Kaistella sp007362475	GCF_007362475.1
s__Chitinimonas arctica	GCF_007431345.1
s__Methylacidiphilum kamchatkense	GCF_007475525.1
s__Symmachiella dynata	GCF_007747995.1
s__Qingshengfaniella alkalisoli	GCF_007855645.1
s__Youhaiella tibetensis	GCF_008000755.1
s__Oryzomonas sp008330225	GCF_008330225.1
s__Thermosynechococcus sp008386235	GCF_008386235.1
s__Serinicoccus marinus	GCF_008386315.1
s__Streptomyces sp000527195	GCF_008632955.1
s__Streptomyces venezuelae_D	GCF_008642315.1
s__RSCCF101 sp008807075	GCF_008807075.1
s__Bradyrhizobium betae	GCF_008932115.1
s__Pseudomonas_E syringae_M	GCF_009176725.1
s__Lacipirellula parvula	GCF_009177095.1
s__Paenibacillus cellulositrophicus_A	GCF_009363095.1
s__Vibrio aquimaris	GCF_009363415.1
s__Microbulbifer sp009363535	GCF_009363535.1
s__Raineyella sp009646095	GCF_009646095.1
s__Algibacter sp009796805	GCF_009796805.1
s__Serratia_B rhizosphaerae	GCF_009817885.1
s__Halomonas sp009834345	GCF_009834345.1
s__Eggerthella sp014287365	GCF_009834925.2
s__Undibacterium sp009937955	GCF_009937955.1
s__Amedibacterium intestinale	GCF_010537335.1
s__Mycobacterium madagascariense	GCF_010729665.1
s__Mycobacterium minnesotense	GCF_010731755.1
s__Halomonas_B socia	GCF_010977575.1
s__Jeotgalibaca porci	GCF_011299095.1
s__Sphingomicrobium piscis	GCF_011300455.1
s__Phycicoccus sp011383005	GCF_011383005.1
s__Polaromonas vacuolata	GCF_012584515.1
s__Paraburkholderia aromaticivorans_A	GCF_012689525.1
s__Pseudomonas_D sp012844345	GCF_012844345.1
s__Pyruvatibacter mobilis	GCF_012848855.1
s__Cohnella sp012849095	GCF_012849095.1
s__Cellulomonas taurus	GCF_012931845.1
s__Roseobacter ponti	GCF_012932215.1
s__Actinomyces marmotae	GCF_013177295.1
s__O-77 sp013177315	GCF_013177315.1
s__Lichenicola cladoniae	GCF_013201075.1
s__Polynucleobacter sp013307245	GCF_013307245.1
s__Streptococcus sanguinis_H	GCF_013343115.1
s__Wolbachia sp013365475	GCF_013365475.1
s__Furfurilactobacillus rossiae_A	GCF_013394045.1
s__Buchnera aphidicola_AZ	GCF_013394915.1
s__Sinorhizobium mexicanum	GCF_013488225.1
s__Limosilactobacillus reuteri_E	GCF_013694365.1
s__Flavobacterium sp013874595	GCF_013874595.1
s__Scrofimicrobium sp014069575	GCF_014069575.1
s__Nocardioides sp014108865	GCF_014108865.1
s__Devosia sp014127105	GCF_014127105.1
s__Kluyvera ascorbata_B	GCF_014168815.1
s__Vulcanococcus sp014217875	GCF_014217875.1
s__Pseudonocardia sp014235185	GCF_014235185.1
s__Blattabacterium cuenoti_U	GCF_014252015.1
s__Synechococcus_C sp014279815	GCF_014279815.1
s__NIES-981 sp014280235	GCF_014280235.1
s__Synechococcus_C sp001632165	GCF_014304815.1
s__Pseudosphingobacterium sp014334135	GCF_014334135.1
s__Mycoplasmopsis_A sp014352955	GCF_014352955.1
s__Leucobacter denitrificans	GCF_014396385.1
s__Nocardia wallacei	GCF_014466955.1
s__Croceimicrobium hydrocarbonivorans	GCF_014524565.1
s__Mannheimia bovis	GCF_014541205.1
s__Dehalogenimonas sp002878295	GCF_014672715.2
s__Paenibacillus lautus_A	GCF_014863545.1
s__Thalassotalea sp014898095	GCF_014898095.1
s__Massilia sp015101885	GCF_015101885.1
s__CBW1002 sp015840915	GCF_015840915.1
s__Nodosilinea sp016403105	GCF_016403105.1
s__DSPX01 sp016446395	GCF_016446395.1
s__Proteus mirabilis_B	GCF_016647575.1
s__Streptomyces sp016756395	GCF_016756395.1
s__Shewanella sp016757755	GCF_016757755.1
s__Shinella sp016839145	GCF_016839145.1
s__Nocardioides sp014265965	GCF_017086465.1
s__Variovorax sp017161115	GCF_017161115.1
s__Koleobacter methoxysyntrophicus	GCF_017301615.1
s__Nocardioides sp017310035	GCF_017310035.1
s__Shewanella sp017354985	GCF_017354985.1
s__Brenneria izadpanahii	GCF_017569925.1
s__Psychrosphaera sp017638545	GCF_017638545.1
s__Yimella sp014530045	GCF_017654605.1
s__Aureimonas populi	GCF_017815515.1
s__Treponema_D parvum	GCF_017893965.1
s__Rhizobium sp017948245	GCF_017948245.1
s__BOG-935 sp018135625	GCF_018135625.1
s__Alkaliphilus_B sp018141165	GCF_018141165.1
s__Vallitalea guaymasensis	GCF_018141425.1
s__Brevibacillus sp018228725	GCF_018228725.1
s__Polymorphospora rubra	GCF_018324255.1
s__Nocardioides sp018388425	GCF_018388425.1
s__Pseudomonas_E entomophila_C	GCF_018417595.1
s__Polynucleobacter sp009928245	GCF_018687475.1
s__Polynucleobacter asymbioticus_C	GCF_018687575.1
s__Polynucleobacter sp018688315	GCF_018688315.1
s__Lysobacter capsici_A	GCF_018732085.1
s__Amycolatopsis_D sp018885265	GCF_018885265.1
s__Collinsella sp018889955	GCF_018889955.1
s__Pauljensenia sp018986735	GCF_018986735.1
s__Enterobacter cancerogenus	GCF_019047785.1
s__Vibrio sp000176715	GCF_019048845.1
s__Aquihabitans sp019048865	GCF_019048865.1
s__Mikella endobia	GCF_900048045.1
s__Plesiomonas shigelloides	GCF_900087055.1
s__Corynebacterium cystitidis	GCF_900187295.1
s__Anaerobutyricum soehngenii	GCF_900209925.1
s__Methylobacterium extorquens	GCF_900234795.1
s__Staphylococcus warneri	GCF_900636385.1
s__Haemophilus_D parainfluenzae_J	GCF_900638025.1
s__Peptoniphilus_C ivorii	GCF_900638585.1
s__Chryseobacterium sp900156935	GCF_903969135.1
s__Vibrio sp903986855	GCF_905175385.1
s__Izemoplasma_B sp014023125	GCA_014023125.1
s__UBA2009 sp016132445	GCA_016132445.1
s__Chlamydia muridarum	GCF_000006685.1
s__Wolbachia pipientis	GCF_000008025.1
s__Aquifex aeolicus	GCF_000008625.1
s__Azorhizobium caulinodans	GCF_000010525.1
s__Gloeobacter violaceus	GCF_000011385.1
s__Borrelia turicatae	GCF_000012085.2
s__Sulfurimonas denitrificans	GCF_000012965.1
s__Koribacter versatilis_A	GCF_000014005.1
s__Aeromonas hydrophila	GCF_000014805.1
s__Pseudopelobacter propionicus	GCF_000015045.1
s__Methylibium petroleiphilum	GCF_000015725.1
s__Prochlorococcus_A marinus_E	GCF_000015965.1
s__Micromonospora tropica	GCF_000016425.1
s__Caldicellulosiruptor saccharolyticus	GCF_000016545.1
s__Kineococcus radiotolerans	GCF_000017305.1
s__Anaeromyxobacter sp000017505	GCF_000017505.1
s__Thermomicrobium roseum	GCF_000021685.1
s__Capnocytophaga ochracea	GCF_000023285.1
s__Leptotrichia buccalis	GCF_000023905.1
s__Thermanaerovibrio acidaminovorans	GCF_000024905.1
s__Prevotella ruminicola	GCF_000025925.1
s__Aromatoleum aromaticum	GCF_000025965.1
s__Gramella forsetii	GCF_000060345.1
s__Caulobacter segnis	GCF_000092285.1
s__Waddlia chondrophila	GCF_000092785.1
s__Starkeya novella	GCF_000092925.1
s__Sulfurimonas autotrophica	GCF_000147355.1
s__Acidithiobacillus_A caldus	GCF_000175575.2
s__Thermovibrio ammonificans	GCF_000185805.1
s__Pseudoxanthomonas suwonensis_A	GCF_000185965.1
s__Pseudarthrobacter phenanthrenivorans	GCF_000189535.1
s__Cupriavidus metallidurans	GCF_000196015.1
s__Photobacterium profundum_A	GCF_000196255.1
s__Halomonas elongata	GCF_000196875.2
s__Helicobacter_E felis	GCF_000200595.1
s__Dokdonia sp000212355	GCF_000212355.1
s__Treponema_F brennaborense	GCF_000212415.1
s__Alteromonas naphthalenivorans	GCF_000213655.1
s__Klebsiella aerogenes	GCF_000215745.1
s__Treponema_G caldarium	GCF_000219725.1
s__Roseburia hominis	GCF_000225345.1
s__Buchnera aphidicola_A	GCF_000225445.1
s__Desulfosporosinus meridiei	GCF_000231385.2
s__Pseudoalteromonas arctica	GCF_000238395.3
s__Belliella baltica	GCF_000265405.1
s__Nocardia cyriacigeorgica_B	GCF_000284035.1
s__Cytobacillus oceanisediminis_B	GCF_000294775.2
s__Limnothrix sp000316605	GCF_000316605.1
s__Paraglaciecola psychrophila	GCF_000347635.1
s__Borrelia miyamotoi	GCF_000445425.4
s__Salinispira pacifica	GCF_000507245.1
s__Mycoplasmopsis californica	GCF_000695835.1
s__Rhodoluna lacicola	GCF_000699505.1
s__Pseudomonas_E fluorescens_X	GCF_000730425.1
s__Amycolatopsis japonica	GCF_000732925.1
s__Comamonas testosteroni_B	GCF_000739375.1
s__Actinobacillus suis	GCF_000739435.1
s__Pseudomonas_E alkylphenolica	GCF_000746525.1
s__Pandoraea pnomenusa	GCF_000767615.3
s__Treponema sp000775995	GCF_000775995.1
s__Berryella intestinalis	GCF_000814825.1
s__Klebsiella variicola	GCF_000828055.2
s__Dehalococcoides mccartyi_B	GCF_000830885.1
s__Corynebacterium marinum	GCF_000835165.1
s__Paenibacillus sp000949425	GCF_000949425.1
s__Serratia_A fonticola	GCF_001006005.1
s__Campylobacter_D lari_C	GCF_001017575.1
s__Liberibacter africanus	GCF_001021085.1
s__Bifidobacterium catenulatum	GCF_001025195.1
s__Bifidobacterium vaginale	GCF_001042655.1
s__Clostridium_W aceticum	GCF_001042715.1
s__Nitrospira_E moscoviensis	GCF_001273775.1
s__Xiphinematobacter sp001318295	GCF_001318295.1
s__Burkholderia cepacia	GCF_001411495.1
s__Aureimonas sp001442755	GCF_001442755.1
s__Pseudoalteromonas phenolica	GCF_001444405.1
s__Streptomyces sp001484565	GCF_001484565.1
s__Deinococcus actinosclerus	GCF_001507665.1
s__Burkholderia sp001522585	GCF_001522585.2
s__Microterricola viridarii_A	GCF_001542775.1
s__Aerococcus viridans	GCF_001543285.1
s__Actinomyces oris_A	GCF_001553935.1
s__Parasphingorhabdus sp001586275	GCF_001586275.1
s__Psychrobacter alimentarius_A	GCF_001606025.1
s__Acetobacter oryzifermentans	GCF_001628715.1
s__Helicobacter pylori_A	GCF_001653455.1
s__Agromyces aureus	GCF_001660485.1
s__Immundisolibacter cernigliae	GCF_001697225.1
s__Buchnera aphidicola_D	GCF_001700895.1
s__Hydrogenophaga sp001713375	GCF_001713375.1
s__Burkholderia diffusa_B	GCF_001718315.1
s__Streptomyces fodineus	GCF_001735805.1
s__Novosphingobium resinovorum	GCF_001742225.1
s__Pseudoalteromonas luteoviolacea_G	GCF_001750165.1
s__Corynebacterium sp001767255	GCF_001767255.1
s__Marinobacter salinus	GCF_001854125.1
s__Granulibacter bethesdensis_B	GCF_001889545.1
s__Corynebacterium aquilae	GCF_001941445.1
s__Rickettsia rickettsii	GCF_001951015.1
s__Fuerstia marisgermanicae	GCF_001983935.1
s__Enterobacter chengduensis	GCF_001984825.2
s__Campylobacter_A caledonicus	GCF_002022005.1
s__Elizabethkingia anophelis	GCF_002023665.2
s__Halobacillus mangrovi	GCF_002097535.1
s__Oceanicoccus sagamiensis	GCF_002117105.1
s__Bordetella_B sp002119665	GCF_002119665.1
s__Acidovorax carolinensis	GCF_002157145.1
s__KBS50 sp002285795	GCF_002285795.1
s__Planktophila limnetica	GCF_002288365.1
s__Capnocytophaga stomatis	GCF_002302635.1
s__Streptococcus troglodytae	GCF_002355215.1
s__Variibacter gotjawalensis	GCF_002355335.1
s__Labilibaculum antarcticum	GCF_002356295.1
s__Halorhodospira halochloris	GCF_002356555.2
s__Cereibacter_A sp002407205	GCF_002407205.1
s__Halomonas beimenensis	GCF_002549795.1
s__Bifidobacterium asteroides	GCF_002715865.1
s__Paenibacillus ihbetae	GCF_002741055.1
s__Massilia violaceinigra	GCF_002752675.1
s__GCF-002776555 sp002776555	GCF_002776555.1
s__Qipengyuania seohaensis	GCF_002795865.1
s__Spiroplasma_A floricola	GCF_002813555.1
s__Providencia huaxiensis	GCF_002843235.3
s__Arthrobacter_F crystallopoietes	GCF_002849715.1
s__Azoarcus_D pumilus	GCF_002872475.1
s__Erythrobacter sp002952215	GCF_002952215.1
s__Mixta calida	GCF_002953215.1
s__Agromyces badenianii	GCF_003070885.1
s__Solibacillus sp003073375	GCF_003073375.1
s__Microbulbifer sp003076275	GCF_003076275.1
s__Actinobacillus_A porcitonsillarum	GCF_003101015.1
s__Flavobacterium crocinum	GCF_003122385.1
s__Flavobacterium sp003312915	GCF_003312915.1
s__Spiroplasma phoeniceum	GCF_003339775.1
s__JL08 sp003352045	GCF_003352045.1
s__Sulfitobacter sp003352065	GCF_003352065.1
s__Mariniflexile sp002848895	GCF_003425985.1
s__Blastomonas fulva	GCF_003431825.1
s__Streptomyces sviceus	GCF_003443735.1
s__Blattabacterium cuenoti_A	GCF_003573915.1
s__Pontibacter actiniarum	GCF_003585765.1
s__Borrelia turcica	GCF_003606285.1
s__Prevotella melaninogenica_A	GCF_003609775.1
s__Clostridium_H haemolyticum	GCF_003614235.1
s__Pseudomonas_E sp001422615	GCF_003627215.1
s__Aliarcobacter cryaerophilus	GCF_003660105.1
s__Janthinobacterium sp001758725	GCF_003667705.1
s__Staphylospora marina	GCF_003856495.1
s__Peribacillus asahii_A	GCF_004006295.1
s__Actinomyces qiguomingii	GCF_004102025.1
s__Bradyrhizobium guangdongense	GCF_004114975.1
s__Sorangium cellulosum_F	GCF_004135735.1
s__Ktedonosporobacter rubrisoli	GCF_004208415.1
s__Janibacter limosus_A	GCF_004295485.1
s__Egicoccus halophilus	GCF_004300825.1
s__QFOI01 sp004337365	GCF_004337365.2
s__Spiroplasma_A gladiatoris	GCF_004379335.1
s__Nitrosococcus wardiae	GCF_004421105.1
s__Sphingobacterium sp002734245	GCF_004526235.1
s__Streptomyces hawaiiensis	GCF_004803895.1
s__Novosphingobium sp005145025	GCF_005145025.1
s__Rhodococcus sp005484805	GCF_005484805.1
s__Kocuria rosea	GCF_006094695.1
s__Shewanella polaris	GCF_006385555.1
s__Nocardioides sambongensis	GCF_006494815.1
s__Pseudarthrobacter sp006517815	GCF_006517815.1
s__Brevundimonas sp006547065	GCF_006547065.1
s__Buchnera aphidicola_T	GCF_006741185.1
s__Lactococcus_A carnosus	GCF_006770265.1
s__Bradyrhizobium cosmicum	GCF_007290395.1
s__Mariniblastus fucicola	GCF_008087665.1
s__Campylobacter_D concheus	GCF_008245025.1
s__Cellvibrio sp000263355	GCF_008806955.1
s__Paenibacillus brasilensis	GCF_009363115.1
s__Microvirga thermotolerans	GCF_009363855.1
s__Streptomyces fagopyri	GCF_009498275.1
s__Desulfosarcina ovata	GCF_009689005.1
s__Cellulosimicrobium sp009708005	GCF_009708005.2
s__Draconibacterium comscasis	GCF_009762775.1
s__Streptomyces sp009832925	GCF_009832925.1
s__Komagataeibacter xylinus_D	GCF_009834365.1
s__Moraxella_A sp002478835	GCF_009867135.1
s__Microbulbifer sp009903625	GCF_009903625.1
s__Marisediminicola antarctica	GCF_009930795.1
s__Bradyrhizobium sp009930815	GCF_009930815.1
s__Microbulbifer hydrolyticus	GCF_009931115.1
s__Mucilaginibacter sp010093045	GCF_010093045.1
s__Mycobacterium pulveris	GCF_010725725.1
s__Mycobacterium alvei	GCF_010727325.1
s__Mycobacterium simiae	GCF_010727605.1
s__Mycobacterium poriferae	GCF_010728325.1
s__Mycobacterium gadium	GCF_010728925.1
s__Mycobacterium phocaicum	GCF_010731115.1
s__Mycobacterium mantenii	GCF_010731775.1
s__Mycobacterium helvum	GCF_010731895.1
s__Sphingomonas sp011057975	GCF_011057975.1
s__Vibrio ziniensis	GCF_011064285.1
s__Diaphorobacter_A sp011305535	GCF_011305535.1
s__Thiosulfativibrio zosterae	GCF_011398155.1
s__Erysipelothrix sp011400295	GCF_011400295.1
s__Bosea sp011764485	GCF_011764485.1
s__Wolbachia sp012277315	GCF_012277315.1
s__Halomonas piezotolerans	GCF_012427705.1
s__Nonlabens sp012974865	GCF_012974865.1
s__Sphingomonas_I sp013113735	GCF_013113735.1
s__Hymenobacter sp013137895	GCF_013137895.1
s__Mesorhizobium loti_D	GCF_013170705.1
s__Aliarcobacter defluvii	GCF_013201725.1
s__Hylemonella sp013334205	GCF_013334205.1
s__Reidiella endopervernicosa	GCF_013343005.1
s__Pseudomonas_E bijieensis	GCF_013347965.1
s__Campylobacter_B ureolyticus	GCF_013372225.1
s__Bisgaardia hudsonensis	GCF_013377195.1
s__Mannheimia varigena	GCF_013377235.1
s__Parasphingopyxis algicola	GCF_013378075.1
s__Pseudoalteromonas sp002685175	GCF_013391845.1
s__Nostoc sp013393905	GCF_013393905.1
s__Nostoc edaphicum_A	GCF_014023275.1
s__Conchiformibius steedae	GCF_014054725.1
s__Mycoplasmoides tullyi	GCF_014068355.1
s__Allorhizobium thiooxidans	GCF_014126615.1
s__Mumia sp014127285	GCF_014127285.1
s__Streptomyces finlayi_A	GCF_014216315.1
s__Adhaeribacter swui	GCF_014217805.1
s__Xanthomonas_A theicola	GCF_014236795.1
s__Pseudomonas_E sp014268885	GCF_014268885.2
s__Streptomyces buecherae	GCF_014295035.1
s__Pedobacter roseus	GCF_014395225.1
s__Erysipelothrix inopinata	GCF_014396165.1
s__Thermomonas carbonis	GCF_014396975.1
s__Nitrosophilus_A labii	GCF_014466985.1
s__Arachnia defluvii	GCF_014489575.1
s__Psychrobacter sp014770435	GCF_014770435.1
s__Blochmannia sp014857065	GCF_014857065.1
s__Pseudomonas_E gozinkensis	GCF_014863585.1
s__Jeongeupia sp015140455	GCF_015140455.1
s__Thermophilibacter sp002407785	GCF_015277515.1
s__Rodentibacter sp015356115	GCF_015356115.1
s__Bradyrhizobium sp015624505	GCF_015624505.1
s__WH-5701 sp015841355	GCF_015841355.1
s__Streptomyces sp016598575	GCF_016598575.1
s__Skermanella sp016653635	GCF_016653635.2
s__Thiothrix sp016772315	GCF_016772315.1
s__Paradevosia shaoguanensis	GCF_016801025.1
s__Sulfitobacter mediterraneus_A	GCF_016801775.1
s__Lysinibacillus fusiformis_F	GCF_016925635.1
s__Pseudomonas_E sp012985665	GCF_016925675.1
s__Treponema medium	GCF_017161265.1
s__Methylacidiphilum sp004421255	GCF_017310505.1
s__Alcaligenes sp017377875	GCF_017377875.1
s__Halomonas sp017868935	GCF_017868935.1
s__Pseudomonas_A stutzeri_AI	GCF_018138085.1
s__Lysobacter_A helvus	GCF_018406645.1
s__Pseudomonas_E fluorescens_BW	GCF_018502625.1
s__Polynucleobacter sp018687675	GCF_018687675.1
s__Lactobacillus crispatus	GCF_018987235.1
s__Cellulophaga sp019021925	GCF_019021925.1
s__Pseudomonas_E cerasi	GCF_900074915.1
s__Rhodococcus rhodochrous	GCF_900187265.1
s__Pasteurella multocida	GCF_900187275.1
s__Arsenophonus sp900343015	GCF_900343015.1
s__Yersinia intermedia	GCF_900635455.1
s__Legionella cherrii	GCF_900635815.1
s__Pseudomonas_E fluorescens_BG	GCF_900636825.1
s__Veillonella dispar	GCF_900637515.1
s__Mycoplasmopsis_A columborale	GCF_900660675.1
s__Mycoplasmopsis columbina	GCF_900660685.1
s__Variovorax sp901827155	GCF_901827155.1
s__Variovorax sp901827175	GCF_901827175.1
s__Denitratisoma oestradiolicum	GCF_902813185.1
s__Microbacterium hydrocarbonoxydans_B	GCF_904831005.1
s__Xanthomonas sp905142465	GCF_905142465.1
s__Marinobacter similis	GCA_000830985.1
s__AWRV01 sp000504185	GCA_016806125.1
s__Cellulomonas sp017569225	GCA_017569225.1
s__Chlorobaculum tepidum	GCF_000006985.1
s__Treponema_B denticola	GCF_000008185.1
s__Mycoplasma_J mobile	GCF_000008365.1
s__Burkholderia mallei	GCF_000011705.1
s__Blochmannia pennsylvanicus_A	GCF_000011745.1
s__Salinibacter ruber	GCF_000013045.1
s__Rhodopseudomonas palustris_J	GCF_000013365.1
s__Maricaulis maris_A	GCF_000014745.1
s__Acidothermus cellulolyticus	GCF_000015025.1
s__Ruthia magnifica	GCF_000015105.1
s__Pseudomonas aeruginosa_A	GCF_000017205.1
s__Crocosphaera subtropica	GCF_000017845.1
s__Desulfosudis oleovorans	GCF_000018405.1
s__Acholeplasma laidlawii	GCF_000018785.1
s__Borrelia recurrentis	GCF_000019705.1
s__Trichlorobacter lovleyi	GCF_000020385.1
s__Chlorobium limicola	GCF_000020465.1
s__Methylocella silvestris	GCF_000021745.1
s__Desulfomicrobium baculatum	GCF_000023225.1
s__Ammonifex degensii	GCF_000024605.1
s__Thermobaculum terrenum	GCF_000025005.1
s__Mycoplasmopsis_A crocodyli	GCF_000025845.1
s__Gordonia sp000143885	GCF_000143885.2
s__Psychromonas sp000153405	GCF_000153405.2
s__Mycobacterium kansasii	GCF_000157895.3
s__Streptococcus parasanguinis	GCF_000164675.2
s__Halanaerobium hydrogeniformans	GCF_000166415.1
s__Zymomonas mobilis	GCF_000175255.2
s__Evansella cellulosilytica	GCF_000177235.2
s__Calditerrivibrio nitroreducens	GCF_000183405.1
s__Desulfobulbus propionicus	GCF_000186885.1
s__Weeksella virosa	GCF_000189415.1
s__Desulfobacca acetoxidans	GCF_000195295.1
s__Carnobacterium_A sp000195575	GCF_000195575.1
s__Glutamicibacter arilaitensis	GCF_000197735.1
s__Eperythrozoon_B haemofelis	GCF_000200735.1
s__Borreliella bissettiae	GCF_000222305.1
s__Cyclobacterium marinum	GCF_000222485.1
s__Desulfitobacterium_A metallireducens	GCF_000231405.2
s__Owenweeksia hongkongensis	GCF_000236705.1
s__Eperythrozoon_B haemocanis	GCF_000238995.1
s__Solitalea canadensis	GCF_000242635.2
s__Niabella soli	GCF_000243115.2
